url,Aircraft Name,First Flight,Aircraft Engines
https://asn.flightsafety.org/database/type/JCOM,Aero Commander 1121 Jet Commander, 1963, 2 Jet engines
https://asn.flightsafety.org/database/type/gupt,Aero Spacelines Mini Guppy Turbine, 1970, 4 Turboprop engines
https://asn.flightsafety.org/database/type/S601,Aérospatiale SN.601 Corvette, 1970, 2 Jet engines
https://asn.flightsafety.org/database/type/_A220,Airbus A220, , 2 Jet engines
https://asn.flightsafety.org/database/type/BCS1,Airbus A220-100, 2013, 2 Jet engines
https://asn.flightsafety.org/database/type/BCS3,Airbus A220-300, 2015, 2 Jet engines
https://asn.flightsafety.org/database/type/_A300,Airbus A300, , 2 Jet engines
https://asn.flightsafety.org/database/type/A306,Airbus A300-600, 1983, 2 Jet engines
https://asn.flightsafety.org/database/type/A30B,Airbus A300B2/B4/C4, 1972, 2 Jet engines
https://asn.flightsafety.org/database/type/A310,Airbus A310, 1982, 2 Jet engines
https://asn.flightsafety.org/database/type/A319,Airbus A319, 1995, 2 Jet engines
https://asn.flightsafety.org/database/type/A320,Airbus A320, 1987, 2 Jet engines
https://asn.flightsafety.org/database/type/_A320,Airbus A320 family (classic), , 2 Jet engines
https://asn.flightsafety.org/database/type/_A320,Airbus A320 family (classic), , 2 Jet engines
https://asn.flightsafety.org/database/type/_A20N,Airbus A320 family (neo), , 2 Jet engines
https://asn.flightsafety.org/database/type/_A20N,Airbus A320 family (neo), , 2 Jet engines
https://asn.flightsafety.org/database/type/A20N,Airbus A320neo, 2014, 2 Jet engines
https://asn.flightsafety.org/database/type/A321,Airbus A321, 1993, 2 Jet engines
https://asn.flightsafety.org/database/type/A21N,Airbus A321neo, 2016, 2 Jet engines
https://asn.flightsafety.org/database/type/A332,Airbus A330-200, 1992, 2 Jet engines
https://asn.flightsafety.org/database/type/A333,Airbus A330-300, 1992, 2 Jet engines
https://asn.flightsafety.org/database/type/A339,Airbus A330-900, 2017, 2 Jet engines
https://asn.flightsafety.org/database/type/_A340,Airbus A340 (all series), , 4 Jet engines
https://asn.flightsafety.org/database/type/_A340,Airbus A340 (all series), , 4 Jet engines
https://asn.flightsafety.org/database/type/A342,Airbus A340-200, 1991, 4 Jet engines
https://asn.flightsafety.org/database/type/A343,Airbus A340-300, 1991, 4 Jet engines
https://asn.flightsafety.org/database/type/A345,Airbus A340-500, 2002, 4 Jet engines
https://asn.flightsafety.org/database/type/A346,Airbus A340-600, 2001, 4 Jet engines
https://asn.flightsafety.org/database/type/_A350,Airbus A350, , 2 Jet engines
https://asn.flightsafety.org/database/type/_A350,Airbus A350, , 2 Jet engines
https://asn.flightsafety.org/database/type/A35K,Airbus A350-1000, 2016, 2 Jet engines
https://asn.flightsafety.org/database/type/A359,Airbus A350-900, 2013, 2 Jet engines
https://asn.flightsafety.org/database/type/A388,Airbus A380, 2005, 4 Jet engines
https://asn.flightsafety.org/database/type/A400,Airbus Military A400M, 2009, 4 Turboprop engines
https://asn.flightsafety.org/database/type/amba,Airspeed AS.57 Ambassador, 1947, 2 Piston engines
https://asn.flightsafety.org/database/type/C27J,Alenia C-27J, 1999, 2 Turboprop engines
https://asn.flightsafety.org/database/type/G222,Alenia G-222, 1970, 2 Turboprop engines
https://asn.flightsafety.org/database/type/an10,Antonov An-10, 1957, 4 Turboprop engines
https://asn.flightsafety.org/database/type/AN12,Antonov An-12, 1957, 4 Turboprop engines
https://asn.flightsafety.org/database/type/A124,Antonov An-124, 1982, 4 Jet engines
https://asn.flightsafety.org/database/type/A140,Antonov An-140, 1997, 2 Turboprop engines
https://asn.flightsafety.org/database/type/A148,Antonov An-148, 2004, 2 Jet engines
https://asn.flightsafety.org/database/type/AN2,Antonov An-2, 1947, 1 Piston engine
https://asn.flightsafety.org/database/type/AN22,Antonov An-22, 1965, 4 Turboprop engines
https://asn.flightsafety.org/database/type/A225,Antonov An-225, 1988, 6 Jet engines
https://asn.flightsafety.org/database/type/AN24,Antonov An-24, 1959, 2 Turboprop engines
https://asn.flightsafety.org/database/type/AN26,Antonov An-26, 1969, 2 Turboprop engines
https://asn.flightsafety.org/database/type/AN28,Antonov An-28 / PZL M-28, 1969, 2 Turboprop engines
https://asn.flightsafety.org/database/type/AN3,Antonov An-3, 1980, 1 Turboprop engine
https://asn.flightsafety.org/database/type/AN30,Antonov An-30, 1967, 2 Turboprop engines
https://asn.flightsafety.org/database/type/AN32,Antonov An-32, 1976, 2 Turboprop engines
https://asn.flightsafety.org/database/type/AN70,Antonov An-70, 1994, 4 Turboprop engines
https://asn.flightsafety.org/database/type/AN72,Antonov An-72 / An-74, 1977, 2 Jet engines
https://asn.flightsafety.org/database/type/A743,Antonov An-74-300, , 2 Jet engines
https://asn.flightsafety.org/database/type/AN8,Antonov An-8, 1956, 2 Turboprop engines
https://asn.flightsafety.org/database/type/argo,Armstrong Whitworth Argosy, 1926, 3 Piston engines
https://asn.flightsafety.org/database/type/aw65,Armstrong Whitworth AW-650 Argosy, 1959, 4 Turboprop engines
https://asn.flightsafety.org/database/type/atal,Armstrong Whitworth AW.15 Atalanta, 1932, 4 Piston engines
https://asn.flightsafety.org/database/type/aw27,Armstrong Whitworth AW.27 Ensign, 1938, 4 Piston engines
